Region,Keyword,,xpath,xpathTitle,xpathLink,targetFileType,textXpath
???,????,http://www.fuzhou.gov.cn/zgfzzt/shbj/zz/ztzl/hjwfpgt/index.htm,/html/body/div[4]/div/div/div/ul/li/a,/@title,/@href,htmlTable;xls,
???,????????????,"http://jaq.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=31540&prepage=15&page=1",,,,,
???,?????????,"http://ljx.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=32860&random=0.3523965502249442&prepage=15&page=1",,,,,
???,?????????;????,"http://lyx.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=9153&prepage=15&page=1",,,,,
???,??????????,"http://mqx.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=8337&prepage=15&page=1",,,,,
???,???????;???????????;?????,"http://mwq.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=35706&prepage=15&page=1",,,,,
???,??????;???????????,"http://clq.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch-lj.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=7780&random=0.12615162403070146&prepage=15&page=1",,,,,
???,???????,http://cs.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docreltime&classsql=chnlid=26327&prepage=15&page=1,,,,,
???,????????,"http://glq.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=29906&prepage=20&page=1",,,,,
???,???????????,"http://tjq.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=28740&random=0.4140516124603395&prepage=15&page=1",,,,,
